Marque,MODEL,Type de Carburant,Transmission,Consommation Urbaine (L/100 km),Consommation Autoroute (L/100 km),Consommation Mixte (L/100 km),Emissions CO2 (g/km),Puissance Fiscale (CV),Puissance Moteur,Catégorie de Véhicule,Cylindrée (L),Cylindres,masse orde marche min,masse orde marche max
VOLKSWAGEN,LUPO 3L TDI,GO,A 5,3.6,2.7,3.0,81,3,45.0,,,,,
VOLKSWAGEN,LUPO 3L TDI,GO,A 5,3.6,2.7,3.0,81,3,45.0,,,,,
VOLKSWAGEN,LUPO 3L TDI,GO,A 5,3.8,2.8,3.2,86,3,45.0,,,,,
VOLKSWAGEN,LUPO 3L TDI,GO,A 5,4.0,2.7,3.2,86,3,45.0,,,,,
VOLKSWAGEN,LUPO 3L TDI,GO,A 5,3.8,2.8,3.2,86,3,45.0,,,,,
VOLKSWAGEN,LUPO 3L TDI,GO,A 5,4.0,2.7,3.2,86,3,45.0,,,,,
VOLKSWAGEN,LUPO 3L TDI,GO,A 5,4.2,2.8,3.3,88,3,45.0,,,,,
VOLKSWAGEN,LUPO 3L TDI,GO,A 5,4.2,2.8,3.3,88,3,45.0,,,,,
SMART,SMART CDI,GO,M 6,3.9,3.1,3.4,90,3,30.0,,,,,
SMART,SMART CDI BVA,GO,M 6,3.9,3.1,3.4,90,3,30.0,,,,,
SMART,SMART CDI CABRIOLET,GO,M 6,3.9,3.1,3.4,90,3,30.0,,,,,
SMART,SMART CDI CABRIOLET BVA,GO,M 6,3.9,3.1,3.4,90,3,30.0,,,,,
PEUGEOT,2063P 1.4HDi,GO,M 5,5.5,3.6,4.3,113,4,50.0,,,,,
PEUGEOT,2065P 1.4HDi,GO,M 5,5.5,3.6,4.3,113,4,50.0,,,,,
RENAULT,CLIO 3P 1.5dCi,GO,M 5,5.3,3.7,4.2,113,4,60.0,,,,,
RENAULT,CLIO 5P 1.5dCi,GO,M 5,5.3,3.7,4.2,113,4,60.0,,,,,
RENAULT,CLIO 3P 1.5dCi,GO,M 5,5.4,3.7,4.3,115,4,48.0,,,,,
RENAULT,CLIO 5P 1.5dCi,GO,M 5,5.4,3.7,4.3,115,4,48.0,,,,,
AUDI,A21.4TDI (75ch),GO,M 5,5.6,3.5,4.3,116,4,55.0,,,,,
AUDI,A21.4TDI (75ch),GO,M 5,5.6,3.5,4.3,116,4,55.0,,,,,
VOLKSWAGEN,LUPO TDI (75ch),GO,M 5,5.6,3.5,4.3,116,4,55.0,,,,,
AUDI,A21.4TDI (75ch),GO,M 5,5.7,3.6,4.4,119,4,55.0,,,,,
AUDI,A21.4TDI (75ch),GO,M 5,5.7,3.6,4.4,119,4,55.0,,,,,
OPEL,ASTRA 3P 1.7DTI 16V ECO4,GO,M 5,6.0,3.5,4.4,119,4,55.0,,,,,
OPEL,ASTRA 5P 1.7DTI 16V ECO4,GO,M 5,6.0,3.5,4.4,119,4,55.0,,,,,
SEAT,AROSA 1.4TDI,GO,M 5,5.7,3.6,4.4,119,4,55.0,,,,,
SEAT,AROSA 1.7SDI,GO,M 5,5.9,3.6,4.4,119,4,44.0,,,,,
SEAT,AROSA 1.7SDI,GO,M 5,5.9,3.6,4.4,119,4,44.0,,,,,
SEAT,AROSA 1.7SDI,GO,M 5,5.9,3.6,4.4,119,4,44.0,,,,,
SEAT,AROSA 1.7SDI,GO,M 5,5.9,3.6,4.4,119,4,44.0,,,,,
VOLKSWAGEN,LUPO SDI,GO,M 5,5.9,3.6,4.4,119,4,44.0,,,,,
VOLKSWAGEN,LUPO SDI,GO,M 5,5.9,3.6,4.4,119,4,44.0,,,,,
VOLKSWAGEN,LUPO TDI (75ch),GO,M 5,5.7,3.6,4.4,119,4,55.0,,,,,
VOLKSWAGEN,POLO TDI (75ch),GO,M 5,5.7,3.6,4.4,119,4,55.0,,,,,
PEUGEOT,2063P 2.0HDi,GO,M 5,5.8,3.8,4.5,120,5,66.0,,,,,
PEUGEOT,2065P 2.0HDi,GO,M 5,5.8,3.8,4.5,120,5,66.0,,,,,
PEUGEOT,3073P 1.4HDi,GO,M 5,5.5,4.0,4.5,120,4,50.0,,,,,
PEUGEOT,3075P 1.4HDi,GO,M 5,5.5,4.0,4.5,120,4,50.0,,,,,
VOLKSWAGEN,POLO TDI (75ch),GO,M 5,5.8,3.7,4.5,120,4,55.0,,,,,
MERCEDES-BENZ,A 160 CDI,GO,M 5,6.0,4.1,4.8,127,4,55.0,,,,,
MERCEDES-BENZ,A 160 CDI,GO,M 5,6.0,4.1,4.8,127,4,55.0,,,,,
OPEL,CORSA 3P 1.7DI 16V,GO,M 5,5.8,4.1,4.7,127,4,48.0,,,,,
OPEL,CORSA 3P 1.7DI 16V CLIM,GO,M 5,5.8,4.1,4.7,127,4,48.0,,,,,
OPEL,CORSA 3P 1.7DTI 16V CLIM,GO,M 5,5.8,4.1,4.7,127,4,55.0,,,,,
OPEL,CORSA 5P 1.7DI 16V,GO,M 5,5.8,4.1,4.7,127,4,48.0,,,,,
OPEL,CORSA 5P 1.7DI 16V CLIM,GO,M 5,5.8,4.1,4.7,127,4,48.0,,,,,
OPEL,CORSA 5P 1.7DTI 16V CLIM,GO,M 5,5.8,4.1,4.7,127,4,55.0,,,,,
FIAT,PUNTO 3P JTD,GO,M 5,6.6,4.0,4.9,130,5,59.0,,,,,
FIAT,PUNTO 3P JTD,GO,M 5,6.6,4.0,4.9,130,5,59.0,,,,,
FIAT,PUNTO 5P JTD,GO,M 5,6.6,4.0,4.9,130,5,59.0,,,,,
FIAT,PUNTO 5P JTD,GO,M 5,6.6,4.0,4.9,130,5,59.0,,,,,
OPEL,ASTRA 3P 1.7DTI 16V CLIM,GO,M 5,6.1,4.0,4.8,130,5,55.0,,,,,
OPEL,ASTRA 5P 1.7DTI 16V CLIM,GO,M 5,6.1,4.0,4.8,130,5,55.0,,,,,
VOLKSWAGEN,POLO SDI,GO,M 5,6.3,3.9,4.8,130,4,47.0,,,,,
VOLKSWAGEN,POLO SDI,GO,M 5,6.4,3.9,4.8,130,4,47.0,,,,,
AUDI,A33P 1.9TDI (90ch),GO,M 5,6.5,4.1,4.9,132,5,66.0,,,,,
OPEL,ASTRA BREAK 1.7DTI 16V CLIM,GO,M 5,6.2,4.1,4.9,132,5,55.0,,,,,
SEAT,CORDOBA 2P TDI (110ch),GO,M 5,6.4,4.0,4.9,132,6,81.0,,,,,
SEAT,CORDOBA TDI (110ch),GO,M 5,6.4,4.0,4.9,132,6,81.0,,,,,
SEAT,IBIZA 3P TDI (110ch),GO,M 5,6.4,4.0,4.9,132,6,81.0,,,,,
SEAT,IBIZA 5P TDI (110ch),GO,M 5,6.4,4.0,4.9,132,6,81.0,,,,,
SKODA,FABIA 1.9SDI (64ch),GO,M 5,6.3,4.1,4.9,132,4,47.0,,,,,
SKODA,FABIA 1.9TDI (100ch),GO,M 5,6.4,4.0,4.9,132,6,74.0,,,,,
SKODA,FABIA COMBI 1.9SDI (64ch),GO,M 5,6.3,4.1,4.9,132,4,47.0,,,,,
SKODA,FABIA SEDAN 1.9SDI (64ch) Classic,GO,M 5,6.3,4.1,4.9,132,4,47.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (110ch),GO,M 5,6.5,4.0,4.9,132,6,81.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (90ch),GO,M 5,6.5,4.1,4.9,132,5,66.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (90ch),GO,M 5,6.5,4.1,4.9,132,5,66.0,,,,,
NISSAN,MICRA 3P 1.5D,GO,M 5,6.4,4.2,5.0,133,4,42.0,,,,,
NISSAN,MICRA 3P 1.5D,GO,M 5,6.4,4.2,5.0,133,4,42.0,,,,,
NISSAN,MICRA 3P 1.5L,GO,M 5,6.4,4.2,5.0,133,4,42.0,,,,,
NISSAN,MICRA 5P 1.5D,GO,M 5,6.4,4.2,5.0,133,4,42.0,,,,,
NISSAN,MICRA 5P 1.5D,GO,M 5,6.4,4.2,5.0,133,4,42.0,,,,,
NISSAN,MICRA 5P 1.5D,GO,M 5,6.4,4.2,5.0,133,4,42.0,,,,,
FORD,FOCUS 4P 1.8TDdi,GO,M 5,6.8,4.1,5.1,134,5,55.0,,,,,
FORD,FOCUS BREAK 1.8TDdi,GO,M 5,6.8,4.1,5.1,134,5,55.0,,,,,
FORD,FOCUS BREAK 1.8TDdi,GO,M 5,6.8,4.1,5.1,134,5,55.0,,,,,
AUDI,A33P 1.9TDI (101ch),GO,M 5,6.5,4.2,5.0,135,6,74.0,,,,,
AUDI,A33P 1.9TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
AUDI,A33P 1.9TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
AUDI,A35P 1.9TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
AUDI,A35P 1.9TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
FORD,FOCUS 5P 1.8TDdi,GO,M 5,6.8,4.1,5.1,135,5,55.0,,,,,
FORD,FOCUS COUPE 1.8TDdi,GO,M 5,6.8,4.1,5.1,135,5,55.0,,,,,
SEAT,CORDOBA 2P TDI (90ch),GO,M 5,6.4,4.1,5.0,135,5,66.0,,,,,
SEAT,CORDOBA 2P TDI (90ch),GO,M 5,6.4,4.1,5.0,135,5,66.0,,,,,
SEAT,CORDOBA TDI (110ch),GO,M 5,6.5,4.1,5.0,135,6,81.0,,,,,
SEAT,CORDOBA TDI (90ch),GO,M 5,6.4,4.1,5.0,135,5,66.0,,,,,
SEAT,CORDOBA TDI (90ch),GO,M 5,6.4,4.1,5.0,135,5,66.0,,,,,
SEAT,IBIZA 3P 1.9SDI,GO,M 5,6.7,4.0,5.0,135,4,50.0,,,,,
SEAT,IBIZA 3P TDI (90ch),GO,M 5,6.5,4.2,5.0,135,5,66.0,,,,,
SEAT,IBIZA 3P TDI (90ch),GO,M 5,6.4,4.1,5.0,135,5,66.0,,,,,
SEAT,IBIZA 5P TDI (90ch),GO,M 5,6.5,4.2,5.0,135,5,66.0,,,,,
SEAT,IBIZA 5P TDI (90ch),GO,M 5,6.4,4.1,5.0,135,5,66.0,,,,,
SEAT,LEON 1900 TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
SEAT,LEON TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
SEAT,LEON TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
SEAT,TOLEDO TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
SEAT,TOLEDO TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
SEAT,TOLEDO TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
SKODA,FABIA COMBI 1.9TDI (100ch),GO,M 5,6.5,4.1,5.0,135,6,74.0,,,,,
SKODA,FABIA SEDAN 1.9TDI (100ch) Elegance,GO,M 5,6.5,4.1,5.0,135,6,74.0,,,,,
SKODA,OCTAVIA 1.9TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
SKODA,OCTAVIA 1.9TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
SKODA,OCTAVIA COMBI 1.9TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
SKODA,OCTAVIA COMBI 1.9TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
VOLKSWAGEN,BORA PACK TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
VOLKSWAGEN,GOLF BREAK TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
VOLKSWAGEN,GOLF BREAK TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
VOLKSWAGEN,GOLF BREAK TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (110ch),GO,M 5,6.6,4.1,5.0,135,6,81.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (90ch),GO,M 5,6.6,4.2,5.0,135,5,66.0,,,,,
FORD,FIESTA 3P 1.8TDdi,GO,M 5,6.5,4.2,5.0,136,5,55.0,,,,,
FORD,FIESTA 5P 1.8TDdi,GO,M 5,6.5,4.2,5.0,136,5,55.0,,,,,
FORD,FOCUS 4P 1.8TDdi,GO,M 5,6.8,4.2,5.2,136,5,55.0,,,,,
MAZDA,1215P 1.8DiTD,GO,M 5,6.5,4.2,5.0,136,5,55.0,,,,,
PEUGEOT,2063P 2.0HDi,GO,M 5,6.6,4.1,5.0,136,5,66.0,,,,,
PEUGEOT,2065P 2.0HDi,GO,M 5,6.6,4.1,5.0,136,5,66.0,,,,,
FORD,FOCUS 5P 1.8TDdi,GO,M 5,6.8,4.2,5.2,137,5,55.0,,,,,
FORD,FOCUS BREAK 1.8TDdi,GO,M 5,6.8,4.2,5.2,137,5,55.0,,,,,
FORD,FOCUS BREAK 1.8TDdi,GO,M 5,6.8,4.2,5.2,137,5,55.0,,,,,
FORD,FOCUS COUPE 1.8TDdi,GO,M 5,6.8,4.2,5.2,137,5,55.0,,,,,
AUDI,A33P 1.9TDI (101ch),GO,M 5,6.6,4.3,5.1,138,6,74.0,,,,,
AUDI,A35P 1.9TDI (101ch),GO,M 5,6.6,4.3,5.1,138,6,74.0,,,,,
CITROEN,SAXO 3P 1.5D,GO,M 5,6.8,4.3,5.2,138,4,42.0,,,,,
CITROEN,SAXO 5P 1.5D,GO,M 5,6.8,4.3,5.2,138,4,42.0,,,,,
CITROEN,XSARA 3P 2.0HDi,GO,M 5,7.0,4.2,5.2,138,6,80.0,,,,,
CITROEN,XSARA 5P 2.0HDi,GO,M 5,7.0,4.2,5.2,138,6,80.0,,,,,
PEUGEOT,1063P 1.5D,GO,M 5,6.8,4.3,5.2,138,4,42.0,,,,,
PEUGEOT,1065P 1.5D,GO,M 5,6.8,4.3,5.2,138,4,42.0,,,,,
PEUGEOT,3073P 2.0HDi,GO,M 5,6.9,4.3,5.2,138,5,66.0,,,,,
PEUGEOT,3073P 2.0HDi FAP,GO,M 5,7.0,4.2,5.2,138,6,79.0,,,,,
PEUGEOT,3075P 2.0HDi,GO,M 5,6.9,4.3,5.2,138,5,66.0,,,,,
PEUGEOT,3075P 2.0HDi FAP,GO,M 5,7.0,4.2,5.2,138,6,79.0,,,,,
SEAT,CORDOBA SDI,GO,M 5,6.8,4.1,5.1,138,4,50.0,,,,,
SEAT,CORDOBA VARIO TDI (110ch),GO,M 5,6.6,4.2,5.1,138,6,81.0,,,,,
SEAT,IBIZA 3P 1.9SDI,GO,M 5,6.8,4.1,5.1,138,4,50.0,,,,,
SEAT,IBIZA 5P 1.9SDI,GO,M 5,6.8,4.1,5.1,138,4,50.0,,,,,
VOLKSWAGEN,BORA TDI (100ch),GO,M 5,6.6,4.3,5.1,138,6,74.0,,,,,
VOLKSWAGEN,BORA TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,BORA TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,BORA TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,BORA TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,GOLF SDI,GO,M 5,6.9,4.2,5.1,138,4,50.0,,,,,
VOLKSWAGEN,GOLF SDI,GO,M 5,6.9,4.2,5.1,138,4,50.0,,,,,
VOLKSWAGEN,GOLF TDI (100ch),GO,M 5,6.6,4.3,5.1,138,6,74.0,,,,,
VOLKSWAGEN,GOLF TDI (100ch),GO,M 5,6.6,4.3,5.1,138,6,74.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,6.9,4.2,5.1,138,6,85.0,,,,,
MERCEDES-BENZ,A 170 CDI,GO,M 5,6.8,4.4,5.2,139,6,70.0,,,,,
MERCEDES-BENZ,A 170 CDI,GO,M 5,6.8,4.4,5.2,139,6,70.0,,,,,
MERCEDES-BENZ,A 170 CDI FAMILY,GO,M 5,6.8,4.4,5.2,139,6,70.0,,,,,
MERCEDES-BENZ,A 170 CDI FAMILY,GO,M 5,6.8,4.4,5.2,139,6,70.0,,,,,
RENAULT,CLIO 3P 1.9dTi CLIM,GO,M 5,6.7,4.3,5.2,139,5,59.0,,,,,
RENAULT,CLIO 5P 1.9dTi CLIM,GO,M 5,6.7,4.3,5.2,139,5,59.0,,,,,
RENAULT,MEGANE BERLINE 1.9dCi,GO,M 5,6.8,4.4,5.2,139,6,75.0,,,,,
RENAULT,MEGANE CLASSIC 1.9dCi,GO,M 5,6.8,4.4,5.2,139,6,75.0,,,,,
RENAULT,MEGANE COUPE 1.9dCi,GO,M 5,6.8,4.4,5.2,139,6,75.0,,,,,
AUDI,A33P 1.9TDI (130ch) BV6,GO,M 6,7.0,4.3,5.2,140,7,96.0,,,,,
AUDI,A35P 1.9TDI (130ch) BV6,GO,M 6,7.0,4.3,5.2,140,7,96.0,,,,,
FIAT,STILO 3P 1.9JTD (115ch),GO,M 5,7.2,4.2,5.3,140,6,85.0,,,,,
NISSAN,MICRA 3P 1.5D,GO,M 5,6.8,4.3,5.2,140,4,42.0,,,,,
NISSAN,MICRA 3P 1.5D,GO,M 5,6.8,4.3,5.2,140,4,42.0,,,,,
NISSAN,MICRA 3P 1.5D,GO,M 5,6.8,4.3,5.2,140,4,42.0,,,,,
NISSAN,MICRA 5P 1.5D,GO,M 5,6.8,4.3,5.2,140,4,42.0,,,,,
NISSAN,MICRA 5P 1.5D,GO,M 5,6.8,4.3,5.2,140,4,42.0,,,,,
NISSAN,MICRA 5P 1.5D,GO,M 5,6.8,4.3,5.2,140,4,42.0,,,,,
SEAT,CORDOBA VARIO SDI,GO,M 5,6.9,4.2,5.2,140,5,50.0,,,,,
SEAT,CORDOBA VARIO TDI (90ch),GO,M 5,6.6,4.3,5.2,140,5,66.0,,,,,
SEAT,CORDOBA VARIO TDI (90ch),GO,M 5,6.6,4.3,5.2,140,5,66.0,,,,,
SEAT,LEON 1900 SDI,GO,M 5,7.0,4.3,5.2,140,5,50.0,,,,,
SEAT,LEON TDI (110ch),GO,M 5,6.8,4.3,5.2,140,6,81.0,,,,,
SEAT,TOLEDO TDI (110ch),GO,M 5,6.8,4.3,5.2,140,6,81.0,,,,,
VOLKSWAGEN,BORA PACK TDI (110ch),GO,M 5,6.8,4.3,5.2,140,6,81.0,,,,,
VOLKSWAGEN,BORA TDI (100ch),GO,M 5,6.8,4.3,5.2,140,6,74.0,,,,,
VOLKSWAGEN,BORA TDI (130ch),GO,M 6,7.0,4.3,5.2,140,7,96.0,,,,,
VOLKSWAGEN,BORA TDI (130ch),GO,M 6,7.0,4.3,5.2,140,7,96.0,,,,,
VOLKSWAGEN,GOLF BREAK SDI,GO,M 5,7.0,4.3,5.2,140,5,50.0,,,,,
VOLKSWAGEN,GOLF BREAK TDI (110ch),GO,M 5,6.8,4.3,5.2,140,6,81.0,,,,,
VOLKSWAGEN,GOLF BREAK TDI (90ch),GO,M 5,6.8,4.3,5.2,140,5,66.0,,,,,
VOLKSWAGEN,GOLF BREAK TDI (90ch),GO,M 5,6.8,4.3,5.2,140,5,66.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (110ch),GO,M 5,6.8,4.3,5.2,140,6,81.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (110ch),GO,M 5,6.8,4.3,5.2,140,6,81.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (90ch),GO,M 5,6.8,4.3,5.2,140,5,66.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (90ch),GO,M 5,6.8,4.3,5.2,140,5,66.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (90ch),GO,M 5,6.8,4.3,5.2,140,5,66.0,,,,,
VOLKSWAGEN,GOLF PACK TDI (90ch),GO,M 5,6.8,4.3,5.2,140,5,66.0,,,,,
VOLKSWAGEN,GOLF SDI,GO,M 5,7.0,4.3,5.2,140,5,50.0,,,,,
VOLKSWAGEN,GOLF SDI,GO,M 5,7.0,4.3,5.2,140,5,50.0,,,,,
VOLKSWAGEN,GOLF TDI (100ch),GO,M 5,6.8,4.3,5.2,140,6,74.0,,,,,
VOLKSWAGEN,GOLF TDI (100ch),GO,M 5,6.8,4.3,5.2,140,6,74.0,,,,,
VOLKSWAGEN,GOLF TDI (130ch),GO,M 6,7.0,4.3,5.2,140,7,96.0,,,,,
VOLKSWAGEN,GOLF TDI (130ch),GO,M 6,7.0,4.3,5.2,140,7,96.0,,,,,
VOLKSWAGEN,GOLF TDI (130ch),GO,M 6,7.0,4.3,5.2,140,7,96.0,,,,,
VOLKSWAGEN,GOLF TDI (130ch),GO,M 6,7.0,4.3,5.2,140,7,96.0,,,,,
VOLKSWAGEN,NEWBEETLE TDI (90ch),GO,M 5,6.8,4.3,5.2,140,5,66.0,,,,,
CITROEN,XSARA 3P 2.0HDi,GO,M 5,7.3,4.2,5.4,141,5,66.0,,,,,
CITROEN,XSARA 5P 2.0HDi,GO,M 5,7.3,4.2,5.4,141,5,66.0,,,,,
CITROEN,XSARA BREAK 2.0HDi,GO,M 5,7.1,4.3,5.3,141,6,80.0,,,,,
PEUGEOT,3063P 2.0HDi,GO,M 5,7.2,4.3,5.4,141,5,66.0,,,,,
PEUGEOT,3064P 2.0HDi,GO,M 5,7.2,4.3,5.4,141,5,66.0,,,,,
PEUGEOT,3065P 2.0HDi,GO,M 5,7.2,4.3,5.4,141,5,66.0,,,,,
PEUGEOT,306BREAK 2.0HDi,GO,M 5,7.2,4.3,5.4,141,5,66.0,,,,,
FORD,FOCUS 4P 1.8TDdi,GO,M 5,7.2,4.4,5.4,142,5,66.0,,,,,
FORD,FOCUS 4P 1.8TDdi,GO,M 5,7.2,4.4,5.4,142,6,85.0,,,,,
VOLVO,S401.9D (103ch),GO,M 5,7.4,4.3,5.4,142,6,75.0,,,,,
VOLVO,S401.9D (115ch),GO,M 5,7.4,4.3,5.4,142,6,85.0,,,,,
VOLVO,V401.9D (103ch),GO,M 5,7.4,4.3,5.4,142,6,75.0,,,,,
VOLVO,V401.9D (115ch),GO,M 5,7.4,4.3,5.4,142,6,85.0,,,,,
FIAT,BRAVO JTD,GO,M 5,7.2,4.4,5.4,143,6,74.0,,,,,
FIAT,BRAVO JTD 100,GO,M 5,7.2,4.4,5.4,143,6,74.0,,,,,
FIAT,STILO 1.9JTD (115ch),GO,M 5,7.4,4.3,5.4,143,7,85.0,,,,,
FORD,FOCUS 5P 1.8TDdi,GO,M 5,7.2,4.4,5.4,143,5,66.0,,,,,
FORD,FOCUS 5P 1.8TDdi,GO,M 5,7.2,4.4,5.4,143,7,85.0,,,,,
FORD,FOCUS BREAK 1.8TDdi,GO,M 5,7.2,4.4,5.4,143,5,66.0,,,,,
FORD,FOCUS BREAK 1.8TDdi,GO,M 5,7.2,4.4,5.4,143,5,66.0,,,,,
FORD,FOCUS BREAK 1.8TDdi,GO,M 5,7.2,4.4,5.4,143,7,85.0,,,,,
FORD,FOCUS COUPE 1.8TDdi,GO,M 5,7.2,4.4,5.4,143,5,66.0,,,,,
FORD,FOCUS COUPE 1.8TDdi,GO,M 5,7.2,4.4,5.4,143,7,85.0,,,,,
RENAULT,MEGANE BREAK 1.9dCi,GO,M 5,7.2,4.4,5.4,143,6,75.0,,,,,
SEAT,CORDOBA VARIO SDI,GO,M 5,7.0,4.3,5.3,143,5,50.0,,,,,
SEAT,LEON 1900 SDI,GO,M 5,7.1,4.4,5.3,143,5,50.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (100ch),GO,M 5,6.8,4.4,5.3,143,6,74.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,BORA TDI (100ch),GO,M 5,6.8,4.4,5.3,143,6,74.0,,,,,
VOLKSWAGEN,BORA TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,BORA TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,BORA TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,BORA TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,GOLF BREAK SDI,GO,M 5,7.1,4.4,5.3,143,5,50.0,,,,,
VOLKSWAGEN,GOLF BREAK TDI (110ch),GO,M 5,6.9,4.4,5.3,143,6,81.0,,,,,
VOLKSWAGEN,GOLF BREAK TDI (90ch),GO,M 5,6.9,4.4,5.3,143,5,66.0,,,,,
VOLKSWAGEN,GOLF BREAK TDI (90ch),GO,M 5,6.9,4.4,5.3,143,5,66.0,,,,,
VOLKSWAGEN,GOLF SDI,GO,M 5,7.1,4.4,5.3,143,5,50.0,,,,,
VOLKSWAGEN,GOLF SPORT PLUS TDI (150ch),GO,M 6,7.1,4.3,5.3,143,8,110.0,,,,,
VOLKSWAGEN,GOLF SPORT PLUS TDI (150ch),GO,M 6,7.1,4.3,5.3,143,8,110.0,,,,,
VOLKSWAGEN,GOLF SPORT PLUS TDI (150ch),GO,M 6,7.1,4.3,5.3,143,8,110.0,,,,,
VOLKSWAGEN,GOLF SPORT PLUS TDI (150ch),GO,M 6,7.1,4.3,5.3,143,8,110.0,,,,,
VOLKSWAGEN,GOLF TDI (100ch),GO,M 5,6.8,4.4,5.3,143,6,74.0,,,,,
VOLKSWAGEN,GOLF TDI (100ch),GO,M 5,6.8,4.4,5.3,143,6,74.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
VOLKSWAGEN,GOLF TDI (115ch),GO,M 6,7.0,4.4,5.3,143,7,85.0,,,,,
